Level	Rule Name	Subject	Property	Value
WARN	missing_definition	OHPI:0000118	IAO:0000600		
WARN	missing_definition	OHPI:0000119	IAO:0000115		
WARN	missing_definition	OHPI:0000119	IAO:0000600		
WARN	missing_definition	OHPI:0000120	IAO:0000115		
WARN	missing_definition	OHPI:0000120	IAO:0000600		
WARN	missing_definition	OHPI:0000121	IAO:0000115		
WARN	missing_definition	OHPI:0000121	IAO:0000600		
WARN	missing_definition	OHPI:0000122	IAO:0000115		
WARN	missing_definition	OHPI:0000122	IAO:0000600		
WARN	missing_definition	OHPI:0000123	IAO:0000115		
WARN	missing_definition	OHPI:0000123	IAO:0000600		
WARN	missing_definition	OHPI:0000124	IAO:0000115		
WARN	missing_definition	OHPI:0000124	IAO:0000600		
WARN	missing_definition	OHPI:0000125	IAO:0000115		
WARN	missing_definition	OHPI:0000125	IAO:0000600		
WARN	missing_definition	OHPI:0000126	IAO:0000115		
WARN	missing_definition	OHPI:0000126	IAO:0000600		
WARN	missing_definition	TRANS:0000000	IAO:0000115		
WARN	missing_definition	TRANS:0000000	IAO:0000600		
WARN	missing_definition	UBERON:0000000	IAO:0000115		
WARN	missing_definition	UBERON:0000000	IAO:0000600		
WARN	missing_definition	UBERON:0001062	IAO:0000115		
WARN	missing_definition	UBERON:0001062	IAO:0000600		
INFO	missing_superclass	BFO:0000016	rdfs:subClassOf		
INFO	missing_superclass	CLO:0001601	rdfs:subClassOf		
INFO	missing_superclass	CLO:0001686	rdfs:subClassOf		
INFO	missing_superclass	CLO:0002172	rdfs:subClassOf		
INFO	missing_superclass	CLO:0002421	rdfs:subClassOf		
INFO	missing_superclass	CLO:0002752	rdfs:subClassOf		
INFO	missing_superclass	CLO:0003684	rdfs:subClassOf		
INFO	missing_superclass	CLO:0003707	rdfs:subClassOf		
INFO	missing_superclass	CLO:0006953	rdfs:subClassOf		
INFO	missing_superclass	CLO:0007005	rdfs:subClassOf		
INFO	missing_superclass	CLO:0008080	rdfs:subClassOf		
INFO	missing_superclass	CLO:0009348	rdfs:subClassOf		
INFO	missing_superclass	CLO:0009524	rdfs:subClassOf		
INFO	missing_superclass	CL:0000000	rdfs:subClassOf		
INFO	missing_superclass	CL:0000066	rdfs:subClassOf		
INFO	missing_superclass	CL:0000115	rdfs:subClassOf		
INFO	missing_superclass	CL:0000235	rdfs:subClassOf		
INFO	missing_superclass	CL:0000542	rdfs:subClassOf		
INFO	missing_superclass	CL:0002328	rdfs:subClassOf		
