ohpi_id	ohpi_label	victor_id	ogg_iri	victor_gene_name	victor_pathogen_name	victor_pathogen_taxon	victor_host_name	victor_host_taxon	victor_host_cell_ontology_iri	victor_host_cell_ontology_name	victor_host_cell_line_ontology_iri	victor_host_cell_line_ontology_name
OHPI_9000295	M. tuberculosis Rv3236c mutant interaction with mouse	342	OGG_3000888861	Rv3236c	M. tuberculosis	1773	mouse	10090				
OHPI_9000296	M. tuberculosis Rv3050c mutant interaction with mouse	343	OGG_3000888866	Rv3050c	M. tuberculosis	1773	mouse	10090				
OHPI_9000297	M. tuberculosis moeB1 mutant interaction with mouse	344	OGG_3000888871	moeB1	M. tuberculosis	1773	mouse	10090				
OHPI_9000298	M. tuberculosis Rv3210c mutant interaction with mouse	345	OGG_3000888876	Rv3210c	M. tuberculosis	1773	mouse	10090				
OHPI_9000299	M. tuberculosis Rv2808 mutant interaction with mouse	346	OGG_3000888944	Rv2808	M. tuberculosis	1773	mouse	10090				
OHPI_9000300	H. pylori cagA mutant interaction with monkey	396	OGG_3000889201	cagA	H. pylori	210	monkey	9479				
OHPI_9000301	H. pylori vacA mutant interaction with mouse	401	OGG_3000890075	vacA	H. pylori	210	mouse	10090				
OHPI_9000302	F. tularensis FTL_0837 mutant interaction with mouse	403	OGG_3003950826	FTL_0837	F. tularensis	263	mouse	10090				
OHPI_9000303	F. tularensis FTL_0846 mutant interaction with mouse	404	OGG_3003950835	FTL_0846	F. tularensis	263	mouse	10090				
OHPI_9000304	F. tularensis FTL_1528 mutant interaction with mouse	405	OGG_3003950841	FTL_1528	F. tularensis	263	mouse	10090				
OHPI_9000305	F. tularensis FTL_1096 mutant interaction with mouse	406	OGG_3003950886	FTL_1096	F. tularensis	263	mouse	10090				
OHPI_9000306	F. tularensis FTL_1097 mutant interaction with mouse	407	OGG_3003950887	FTL_1097	F. tularensis	263	mouse	10090				
OHPI_9000307	F. tularensis FTL_1867 mutant interaction with mouse	408	OGG_3003950914	FTL_1867	F. tularensis	263	mouse	10090				
OHPI_9000308	F. tularensis FTL_1672 mutant interaction with mouse	409	OGG_3003950922	FTL_1672	F. tularensis	263	mouse	10090				
OHPI_9000309	F. tularensis FTL_1678 mutant interaction with mouse	410	OGG_3003950928	FTL_1678	F. tularensis	263	mouse	10090				
OHPI_9000310	F. tularensis tig mutant interaction with mouse	411	OGG_3003950940	tig	F. tularensis	263	mouse	10090				
OHPI_9000311	F. tularensis FTL_0892 mutant interaction with mouse	412	OGG_3003950941	FTL_0892	F. tularensis	263	mouse	10090				
OHPI_9000312	F. tularensis clpX mutant interaction with mouse	413	OGG_3003950942	clpX	F. tularensis	263	mouse	10090				
OHPI_9000313	F. tularensis FTL_0894 mutant interaction with mouse	414	OGG_3003950943	FTL_0894	F. tularensis	263	mouse	10090				
OHPI_9000314	F. tularensis FTL_0899 mutant interaction with mouse	415	OGG_3003950948	FTL_0899	F. tularensis	263	mouse	10090				
OHPI_9000315	F. tularensis FTL_0903 mutant interaction with mouse	416	OGG_3003950952	FTL_0903	F. tularensis	263	mouse	10090				
